# Non-merge commits touching src/mgr/DaemonServer.cc and/or src/mgr/DaemonServer.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
525623b6cd335ce4dd84879567bde214668c38de 2018-10-31 John Spray | ceph_argparse: introduce CephBool arguments
7734e9fa887293d8262d895d6277bd98ca9bc79e 2018-09-27 John Spray | common: remove unused 'avail' field from commands
9f53d1bab374f23f23bb355b7d77aa5fd6351aeb 2018-11-01 Mykola Golub | mgr: race between daemon state and service map in 'service status'
1c2bc53df73d9891330cf0b18f5193167d64df61 2018-10-17 Sage Weil | mgr/DaemonState: fix get_config_defaults locking
6289e7211677654850c41d08c6c9685b327f8d74 2018-10-23 Xie Xingguo | mgr/DaemonServer: "osd safe-to-destroy" - more verbose output
550dcd53bb6db4f6b9d3b941f101332ac17a0168 2018-09-24 Sage Weil | mgr/DaemonServer: prevent merge if either pg is remapped|upmap
5bb9820b2d2b054dcd2309b63296d33c2538b54f 2018-09-20 Sage Weil | mgr/DaemonServer: move pending merge check for more consistent code
70ec5bda233dae482aae1b7453990f2c01872651 2018-09-19 Sage Weil | mgr/DaemonServer: add option to bypass careful throttling for thrasher
ba3679c60b860358d1d471e6aa8a492fb5045132 2018-09-24 Sage Weil | mgr/DaemonServer: remove any upmaps on merging PGs
948635a8b2130b561fae08bd5b2405a2dc6d3e9f 2018-10-16 Sage Weil | mgr: Mutex::Locker -> std::lock_guard
155d9a2c00e116408e9312706c9e4dced6acfa39 2018-09-19 Sage Weil | mgr/DaemonServer: adjust_pgs(): cosmetic change to debug output
1617473f10f1b523aaa881b9b2b192c7d419fd2b 2018-09-19 Sage Weil | mgr/DaemonServer: throttle pgp_num changes based on misplaced %
3365c5d40b93f3886175d3e7c07e66db9f6dcead 2018-09-19 Sage Weil | mgr/DaemonServer: remove stale/misleading check
b4c17cca15d3079b223be0110ac6cfa49bb68cee 2018-09-19 Sage Weil | mgr/DaemonServer: allow pg_num increases that abort pending merges
d6022dd87b62ffb04a2a62153220c6af5371fbfe 2018-09-19 Sage Weil | mgr/DaemonServer: block pg_num decrease(merge) until pgp_num is reduced
1e3517a31eae221b216f95fe2224f6edea8544ae 2018-09-13 Sage Weil | msg: remove unused ms_verify_authorizer
28debec0f366dd6ead8ae2e263a6683c71f86d4c 2018-09-21 Sage Weil | mgr/DaemonServer: add missing return
f2f4493b26debbc0ce956c0de0f5da43627d035d 2018-09-13 Sage Weil | mgr/DaemonServer: expose keyring for authenticator verification
873c6a69bb39338b6f71b60f1eb876a47e2511bb 2018-09-13 Sage Weil | mgr/DaemonServer: move session setup into ms_handle_authentication
a6c3390834759e3f953962d46cc7c840c9970046 2018-10-03 Mykola Golub | mgr: create shell OSD performance query class
7757ddd146f7e7e31630b54f633e1b89b6e5a6f8 2018-09-17 Julien Collet | mgr: add optional OSD perf queries to MMgrConfigure message
95b7d2340c04dc7cf90085c89606b8c85a8f2803 2018-08-22 Ren Huanwen | mgr: add pg_state_ready for pgs show in unknown state
4b10ed10351b2e8c23d2e85f1f79684eeb63ba60 2018-09-10 Xie Xingguo | mgr/DaemonServer: split should respect inflight creating pgs
101671d95a506d4bf3166a6331c9abd0330711a1 2018-04-06 Sage Weil | mgr: do not adjust pg_num until FLAG_CREATING removed from pool
a5274c75e263dd61d9569cfb9dd730cf7921d1e6 2018-04-06 Sage Weil | mgr: add simple controller to adjust pg[p]_num_actual
9cad299aaa940a33c1f3db2bcf2ccb46b8be19ea 2018-08-13 Sage Weil | mgr/DaemonServer: catch cmd_bad_get
3752b67ec9d0e90e80c78b81bec5c218bad5c35e 2018-08-12 Sage Weil | auth: remove auid args from handle_request and verify_authorizer
ab23c506964753990f9fe23e314b9f3e2547a773 2018-08-23 Adam C. Emerson | mgr: Use ceph_assert for asserts.
eb59c69674eb5de18f8054c7ddc3cd76d795512c 2018-08-23 Adam C. Emerson | cleanup: Replace always-false assertions with abort
2b2f05fea3df031941f1bb7f2bd6728fc0775282 2018-08-15 Kefu Chai | auth: switch to LockPolicy templatized alternatives
1081e5f691bc67f0e48a15b6c7c8138b927b9d44 2018-07-05 Sage Weil | mon/MonCap: take addr for MonCap::is_capable
53d7c46cf54d010210f89e18ebc3ef9010a2512e 2018-08-07 Noah Watkins | mgr: add locked assertion
6dbbb4e522264bcafa572da31d1e7617d2de3c3f 2018-08-03 Kefu Chai | mgr: silence -Wunused-lambda-capture warning
d445147603ca16126cd99dccc2034ed4aefad16f 2018-07-30 Sage Weil | mgr/DaemonServer: osd purge: accept --yes-i-really-mean-it too
26fe2ab6f0881b4793839f9b408d5373c200c398 2018-06-26 Sage Weil | mon,mgr: guard 'osd purge' with safe-to-destroy check
d2b41d4095074447df247907934626f4287cd91b 2018-06-26 Sage Weil | mon,mgr: guard 'osd destroy' with 'osd safe-to-destroy' check
3068c4290166076093119d1dc08a2c0fada8235f 2018-07-26 Noah Watkins | mgr: report health check changes immediately
f528475d92524328ef3e12dfec036461395338c0 2018-07-06 Kefu Chai | common: move ConfigValues out of md_config_t
