# Non-merge commits touching src/mgr/ActivePyModules.cc and/or src/mgr/ActivePyModules.h (rename-aware, newest first)
# Format: SHA date author | subject
# collected_at: 2026-09-14T18:08:19Z  head: 8681fa6ebac230f86eb445bf57095c63e7f1abcc
#
d953198aff3e5aaa6e2eadcf8a53c9e0279a30de 2017-06-27 Sage Weil | mon,mgr: track available modules in MgrMap too
67bd8c40ed3a71edef8baccdadfca979042c792c 2017-06-25 John Spray | mgr: cluster log message on plugin load error
1ebc3f12aabb3534f6218a0478dc6fe2f02d3201 2017-06-02 Sage Weil | mgr: add get_config_prefix
b5994f3ee07b9ce4c881f6e4be54d907b5665d82 2017-06-02 Sage Weil | mgr/PyModules: prefix by mgr/, not mgr/$id/
040e8cf306f2c4ae1315f8dcec0d498d4823340d 2017-06-08 John Spray | mgr: drop PyModules::lock around module shutdown calls
8f2521617ee31453909ddd0a6a5fd177c8fbf034 2017-05-12 Sage Weil | mon/PGMap: move summary information into parent PGMapDigest object
3e0d14912e5560583800ca442e21458a1e2ba5f7 2017-05-13 Tim Serong | mgr: load modules in separate python sub-interpreters
f36b0d9d4053e167f59b89286cc9378e8e1563f7 2017-05-12 Tim Serong | mgr: use new Gil class in place of PyGILState_*() API
987211a63927b19a76c99eab7580845e1480baf5 2017-05-02 Dan Mick | mgr/PyModules: move constructor definition to .cc
dc15cd6075a8804f310ccfd9373c1e4c48acc093 2017-05-04 Dan Mick | mgr: change config_prefix to be 'mgr/<id>/' and separate handle/key by '/'
f2d29d2cefd2d92729f7af507243afbdd49a0304 2017-04-28 Dan Mick | mgr/PyModules.cc,PyState.cc: improve config access debug logging
f4bc4f64ad2d7a30d5e91c0ba4b75440a99464d0 2017-04-11 Dan Mick | ServeThread: add 'running' flag, don't notify non-running threads
3746e209d88137206b5ad319dc049207bc4e2524 2017-03-30 John Spray | mgr: embed Client instance for mds_command
07cae6214b6c12e4b118f5142e90a37386b446b2 2017-03-05 John Spray | mgr: add get_context() to python interface
562089d2a1c216fbe49654da81b64a0f808e3b56 2017-02-04 John Spray | mgr: expose Objecter to PyModules
145acbe976bdd6b9081f56f1dd1ead75c67d24ab 2017-04-27 Kefu Chai | mgr: do shutdown using finisher so we can do it in the right order
67072d2261a6da142e0bd3d67058f399c5c480b3 2017-04-26 Kefu Chai | mgr: pass python interpreter's path to embedded python
1dc66c4aebbf7581fcc508af5e1820768553272d 2017-04-21 Tim Serong | mgr: fix crash on set_config from python module with insufficient caps
cef433eccb012d05fb1bd4d04478c61d6c9c02e0 2017-04-21 Kefu Chai | mgr: move handle_pyerror() from MgrPyModules to MgrPyModule
6fc3a46295c8b5330e3611deb5edf97135e3dd24 2017-04-11 Dan Mick | mgr/PyModules handle_pyerror: don't add extra newlines to tb
f50d9f799dec8f1212253c296efc284628edccba 2017-03-28 Kefu Chai | mgr: redirect python stdout,stderr to ceph log
838f66269fce3aa9c9ef97850ce558d2ef00c4d2 2017-03-29 John Spray | mgr: fix waiting for module shutdown() before destroying
dc7ff92e524496f51e999b6396818d55738651b5 2017-04-13 Kefu Chai | mgr: always free allocated MgrPyModule
523b7cafc4c84ef09dbae50cb8311d1694618d45 2017-03-22 Kefu Chai | mgr: shutdown py_modules in Mgr::shutdown()
37e7029ac4282502e06069fff660d15492a9bf2e 2017-03-24 Tim Serong | mgr: fix crash on missing 'ceph_version' in daemon metadata
